type,category,accuracy,precision,recall,f1,true_positives,false_positives,false_negatives
overall,all,0.9516148459142764,0.6305609284332688,0.30400994715573515,0.41023489932885904,978,573,2239
construction,Interrogative-Polar-Indirect,0.9576771653543307,0.875,0.7064220183486238,0.7817258883248731,77,11,32
construction,Interrogative-WHInfo-Indirect,0.8228813559322034,0.7272727272727273,0.5679012345679012,0.6377816291161178,184,69,140
construction,Interrogative-Polar-Direct,0.5802837938760269,0.4634146341463415,0.6320939334637965,0.5347682119205299,323,374,188
construction,Existential-CopPred-ThereExpl,0.7484567901234568,0.6385135135135135,0.4632352941176471,0.5369318181818181,189,107,219
construction,Interrogative-WHInfo-Direct,0.7612293144208038,0.957345971563981,0.40725806451612906,0.5714285714285714,202,9,294
construction,NPN,0.9681908548707754,0.5,0.09375,0.15789473684210525,3,3,29
construction,Conditional-Interrogative,0.9979508196721312,0.0,0.0,0.0,0,0,2
construction,Conditional-UnspecifiedEpistemic-NoInversion,0.60875,0.0,0.0,0.0,0,0,626
construction,Existential-CopPred-HereExpl,0.9979508196721312,0.0,0.0,0.0,0,0,2
construction,Conditional-NegativeEpistemic-NoInversion,0.9908443540183113,0.0,0.0,0.0,0,0,9
construction,"Existential-CopPred-ThereExpl,Interrogative-Polar-Indirect",0.9878296146044625,0.0,0.0,0.0,0,0,12
construction,"Conditional-UnspecifiedEpistemic-NoInversion,Interrogative-Polar-Direct",0.9808660624370594,0.0,0.0,0.0,0,0,19
construction,Conditional-UnspecifiedEpistemic-Reduced,0.9615004935834156,0.0,0.0,0.0,0,0,39
construction,"Existential-CopPred-ThereExpl,Interrogative-WHInfo-Direct,Interrogative-WHInfo-Direct#2",0.9989743589743589,0.0,0.0,0.0,0,0,1
construction,"Interrogative-WHInfo-Direct,Interrogative-WHInfo-Direct#2",0.9959100204498977,0.0,0.0,0.0,0,0,4
construction,"Interrogative-Polar-Direct,Interrogative-WHInfo-Direct",0.9818548387096774,0.0,0.0,0.0,0,0,18
construction,"Interrogative-WHInfo-Indirect,Interrogative-WHInfo-Indirect#2",0.9959100204498977,0.0,0.0,0.0,0,0,4
construction,"Conditional-NegativeEpistemic-NoInversion,Conditional-NegativeEpistemic-Reduced",0.9989743589743589,0.0,0.0,0.0,0,0,1
construction,"Existential-CopPred-ThereExpl,Interrogative-WHInfo-Direct",0.9979508196721312,0.0,0.0,0.0,0,0,2
construction,Existential-ExistPred-NoExpl,0.9838383838383838,0.0,0.0,0.0,0,0,16
construction,Conditional-UnspecifiedEpistemic-SubjVerbInversion,0.9918533604887984,0.0,0.0,0.0,0,0,8
construction,"Conditional-UnspecifiedEpistemic-NoInversion,Existential-CopPred-ThereExpl",0.9878296146044625,0.0,0.0,0.0,0,0,12
construction,Conditional-NegativeEpistemic-SubjVerbInversion,0.9969293756397134,0.0,0.0,0.0,0,0,3
construction,"Existential-ExistPred-NoExpl,Interrogative-Polar-Direct",0.9989743589743589,0.0,0.0,0.0,0,0,1
construction,"Existential-CopPred-ThereExpl,Interrogative-Polar-Direct",0.9979508196721312,0.0,0.0,0.0,0,0,2
construction,Conditional-NegativeEpistemic-Reduced,0.9979508196721312,0.0,0.0,0.0,0,0,2
construction,"Conditional-UnspecifiedEpistemic-Reduced,Interrogative-WHInfo-Direct",0.9969293756397134,0.0,0.0,0.0,0,0,3
construction,"Conditional-UnspecifiedEpistemic-Reduced,Interrogative-Polar-Indirect",0.9989743589743589,0.0,0.0,0.0,0,0,1
construction,"Conditional-UnspecifiedEpistemic-Reduced,Interrogative-Polar-Direct",0.9948927477017364,0.0,0.0,0.0,0,0,5
construction,"Conditional-UnspecifiedEpistemic-Reduced,Existential-CopPred-ThereExpl",0.9969293756397134,0.0,0.0,0.0,0,0,3
construction,"Existential-CopPred-HereExpl,Existential-CopPred-ThereExpl",0.9989743589743589,0.0,0.0,0.0,0,0,1
construction,"Conditional-UnspecifiedEpistemic-NoInversion,Conditional-UnspecifiedEpistemic-NoInversion#2",0.9948927477017364,0.0,0.0,0.0,0,0,5
construction,"Conditional-UnspecifiedEpistemic-NoInversion,Interrogative-WHInfo-Direct",0.9938775510204082,0.0,0.0,0.0,0,0,6
construction,"Conditional-UnspecifiedEpistemic-Reduced,Interrogative-Polar-Direct,Interrogative-WHInfo-Direct",0.9989743589743589,0.0,0.0,0.0,0,0,1
construction,"Interrogative-Polar-Indirect,Interrogative-WHInfo-Indirect",0.9979508196721312,0.0,0.0,0.0,0,0,2
construction,"Conditional-UnspecifiedEpistemic-SubjVerbInversion,Interrogative-WHInfo-Indirect",0.9989743589743589,0.0,0.0,0.0,0,0,1
construction,Conditional-NeutralEpistemic,0.81438127090301,0.0,0.0,0.0,0,0,222
construction,"Existential-HavePred-ItExpl-ThereExpl,Interrogative-Polar-Direct",0.9959100204498977,0.0,0.0,0.0,0,0,4
construction,Existential-HavePred-ItExpl-ThereExpl,0.9010175763182239,0.0,0.0,0.0,0,0,107
